id,compartment,metabolite_dcid
m00001c,dcs:CellularCompartmentCytosol,bio/CHEMBL1907992
m00001s,dcs:CellularCompartmentExtracellular,bio/CHEMBL1907992
m00002c,dcs:CellularCompartmentCytosol,bio/CHEMBL442565
m00002s,dcs:CellularCompartmentExtracellular,bio/CHEMBL442565
m00003c,dcs:CellularCompartmentCytosol,bio/MNXM150165
m00003l,dcs:CellularCompartmentLysosome,bio/MNXM150165
m00003r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM150165
m00003s,dcs:CellularCompartmentExtracellular,bio/MNXM150165
m00004c,dcs:CellularCompartmentCytosol,bio/MNXM148601
m00004m,dcs:CellularCompartmentMitochondria,bio/MNXM148601
m00004r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM148601
m00005c,dcs:CellularCompartmentCytosol,bio/MNXM9658
m00006c,dcs:CellularCompartmentCytosol,bio/(11Z)-docosenoyl-CoA
m00006m,dcs:CellularCompartmentMitochondria,bio/(11Z)-docosenoyl-CoA
m00006r,dcs:CellularCompartmentEndoplasmicReticulum,bio/(11Z)-docosenoyl-CoA
m00007c,dcs:CellularCompartmentCytosol,bio/MNXM11852
m00007m,dcs:CellularCompartmentMitochondria,bio/MNXM11852
m00007p,dcs:CellularCompartmentPeroxisome,bio/MNXM11852
m00007r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM11852
m00008c,dcs:CellularCompartmentCytosol,bio/MNXM11473
m00008l,dcs:CellularCompartmentLysosome,bio/MNXM11473
m00008r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM11473
m00008s,dcs:CellularCompartmentExtracellular,bio/MNXM11473
m00009c,dcs:CellularCompartmentCytosol,bio/MNXM167435
m00009m,dcs:CellularCompartmentMitochondria,bio/MNXM167435
m00009r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM167435
m00010c,dcs:CellularCompartmentCytosol,bio/CHEMBL453991
m00010l,dcs:CellularCompartmentLysosome,bio/CHEMBL453991
m00010r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL453991
m00010s,dcs:CellularCompartmentExtracellular,bio/CHEMBL453991
m00011c,dcs:CellularCompartmentCytosol,bio/(11Z_14Z_17Z)-eicosatrienoylcarnitine
m00011m,dcs:CellularCompartmentMitochondria,bio/(11Z_14Z_17Z)-eicosatrienoylcarnitine
m00011r,dcs:CellularCompartmentEndoplasmicReticulum,bio/(11Z_14Z_17Z)-eicosatrienoylcarnitine
m00012c,dcs:CellularCompartmentCytosol,bio/MNXM162872
m00012m,dcs:CellularCompartmentMitochondria,bio/MNXM162872
m00012r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM162872
m00013c,dcs:CellularCompartmentCytosol,bio/MNXM168925
m00014p,dcs:CellularCompartmentPeroxisome,bio/MNXM150224
m00015p,dcs:CellularCompartmentPeroxisome,bio/MNXM33354
m00016c,dcs:CellularCompartmentCytosol,bio/MNXM11430
m00016m,dcs:CellularCompartmentMitochondria,bio/MNXM11430
m00016p,dcs:CellularCompartmentPeroxisome,bio/MNXM11430
m00016r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM11430
m00017c,dcs:CellularCompartmentCytosol,bio/MNXM24465
m00017l,dcs:CellularCompartmentLysosome,bio/MNXM24465
m00017r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM24465
m00017s,dcs:CellularCompartmentExtracellular,bio/MNXM24465
m00018c,dcs:CellularCompartmentCytosol,bio/MNXM146661
m00018m,dcs:CellularCompartmentMitochondria,bio/MNXM146661
m00018p,dcs:CellularCompartmentPeroxisome,bio/MNXM146661
m00018r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM146661
m00019c,dcs:CellularCompartmentCytosol,bio/MNXM29438
m00019l,dcs:CellularCompartmentLysosome,bio/MNXM29438
m00019r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM29438
m00019s,dcs:CellularCompartmentExtracellular,bio/MNXM29438
m00020c,dcs:CellularCompartmentCytosol,bio/(13Z)-octadecenoyl-CoA
m00020m,dcs:CellularCompartmentMitochondria,bio/(13Z)-octadecenoyl-CoA
m00020r,dcs:CellularCompartmentEndoplasmicReticulum,bio/(13Z)-octadecenoyl-CoA
m00021c,dcs:CellularCompartmentCytosol,bio/MNXM9691
m00021l,dcs:CellularCompartmentLysosome,bio/MNXM9691
m00021r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM9691
m00021s,dcs:CellularCompartmentExtracellular,bio/MNXM9691
m00022c,dcs:CellularCompartmentCytosol,bio/MNXM149276
m00022m,dcs:CellularCompartmentMitochondria,bio/MNXM149276
m00022r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM149276
m00023c,dcs:CellularCompartmentCytosol,bio/MNXM9382
m00023m,dcs:CellularCompartmentMitochondria,bio/MNXM9382
m00023r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM9382
m00024c,dcs:CellularCompartmentCytosol,bio/MNXM8942
