id,name,compartment,chemicalFormula,bigg.metabolite,chebi,chembl,kegg.compound,metanetx.chemical,hmdb,pubchem.compound,lipidmaps,dcid
m00001c,"""(-)-trans-carveol""",dcs:CellularCompartmentEnumCytosol,C10H16O,carveol,"""CHEBI:15389""",CHEMBL1907992,C00964,MNXM45735,,,,bio/CHEMBL1907992
m00001s,"""(-)-trans-carveol""",dcs:CellularCompartmentEnumExtracellular,C10H16O,carveol,"""CHEBI:15389""",CHEMBL1907992,C00964,MNXM45735,,,,bio/CHEMBL1907992
m00002c,"""(+)-alpha-pinene""",dcs:CellularCompartmentEnumCytosol,C10H16,appnn,"""CHEBI:36740""",CHEMBL442565,C09880,MNXM163755,HMDB06525,6654,,bio/CHEMBL442565
m00002s,"""(+)-alpha-pinene""",dcs:CellularCompartmentEnumExtracellular,C10H16,appnn,"""CHEBI:36740""",CHEMBL442565,C09880,MNXM163755,HMDB06525,6654,,bio/CHEMBL442565
m00003c,"""(10Z)-heptadecenoic acid""",dcs:CellularCompartmentEnumCytosol,C17H31O2,,,,,MNXM150165,,,LMFA01030283,bio/C17H31O2
m00003l,"""(10Z)-heptadecenoic acid""",dcs:CellularCompartmentEnumLysosome,C17H31O2,,,,,MNXM150165,,,LMFA01030283,bio/C17H31O2
m00003r,"""(10Z)-heptadecenoic acid""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C17H31O2,,,,,MNXM150165,,,LMFA01030283,bio/C17H31O2
m00003s,"""(10Z)-heptadecenoic acid""",dcs:CellularCompartmentEnumExtracellular,C17H31O2,,,,,MNXM150165,,,LMFA01030283,bio/C17H31O2
m00004c,"""(10Z)-heptadecenoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C38H62N7O17P3S,,,,,MNXM148601,,,,bio/C38H62N7O17P3S
m00004m,"""(10Z)-heptadecenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C38H62N7O17P3S,,,,,MNXM148601,,,,bio/C38H62N7O17P3S
m00004r,"""(10Z)-heptadecenoyl-CoA""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C38H62N7O17P3S,,,,,MNXM148601,,,,bio/C38H62N7O17P3S
m00005c,"""(11R)-HPETE""",dcs:CellularCompartmentEnumCytosol,C20H31O4,,,,,MNXM9658,,,LMFA03060071,bio/C20H31O4
m00006c,"""(11Z)-docosenoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C43H72N7O17P3S,,,,,,,,,bio/C43H72N7O17P3S
m00006m,"""(11Z)-docosenoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C43H72N7O17P3S,,,,,,,,,bio/C43H72N7O17P3S
