reactionID,dcid
bio/HMR_3905,bio/CHEMBL170365
bio/HMR_3907,bio/CHEMBL170365
bio/HMR_8757,bio/CHEMBL170365
bio/HMR_4398,bio/CHEMBL170365
bio/HMR_4284,bio/CHEMBL170365
bio/HMR_6734,bio/CHEMBL170365
bio/HMR_1958,bio/CHEMBL170365
bio/HMR_4296,bio/CHEMBL170365
bio/HMR_0647,bio/CHEMBL170365
bio/HMR_3905,bio/H
bio/HMR_3907,bio/H
bio/HMR_4108,bio/H
bio/HMR_4283,bio/H
bio/HMR_4379,bio/H
bio/HMR_4301,bio/H
bio/HMR_4360,bio/H
bio/HMR_4370,bio/H
bio/HMR_4371,bio/H
bio/HMR_4394,bio/H
bio/HMR_7746,bio/H
bio/HMR_7747,bio/H
bio/HMR_4122,bio/H
bio/HMR_5395,bio/H
bio/HMR_5396,bio/H
bio/HMR_9727,bio/H
bio/HMR_4130,bio/H
bio/HMR_4414,bio/H
bio/HMR_4775,bio/H
bio/HMR_8761,bio/H
bio/HMR_0454,bio/H
bio/HMR_4297,bio/H
bio/HMR_4310,bio/H
bio/HMR_4315,bio/H
bio/HMR_4316,bio/H
bio/HMR_4317,bio/H
bio/HMR_4318,bio/H
bio/HMR_4319,bio/H
bio/HMR_4320,bio/H
bio/HMR_4401,bio/H
bio/HMR_4402,bio/H
bio/HMR_4490,bio/H
bio/HMR_4591,bio/H
bio/HMR_4593,bio/H
bio/HMR_4594,bio/H
bio/HMR_8726,bio/H
bio/HMR_8727,bio/H
bio/HMR_8729,bio/H
bio/HMR_1568,bio/H
bio/HMR_3857,bio/H
bio/HMR_3859,bio/H
bio/HMR_4093,bio/H
bio/HMR_8503,bio/H
bio/HMR_8504,bio/H
bio/HMR_8507,bio/H
bio/HMR_8508,bio/H
bio/HMR_8512,bio/H
bio/HMR_8514,bio/H
bio/HMR_8078,bio/H
bio/HMR_5351,bio/H
bio/HMR_4052,bio/H
bio/HMR_9799,bio/H
bio/HMR_9800,bio/H
bio/HMR_4625,bio/H
bio/HMR_8074,bio/H
bio/HMR_3998,bio/H
bio/HMR_4012,bio/H
bio/HMR_4014,bio/H
bio/HMR_4040,bio/H
bio/HMR_4042,bio/H
bio/HMR_4046,bio/H
bio/HMR_4048,bio/H
bio/HMR_4168,bio/H
bio/HMR_4453,bio/H
bio/HMR_4486,bio/H
bio/HMR_4487,bio/H
bio/HMR_4488,bio/H
bio/HMR_4489,bio/H
bio/HMR_4492,bio/H
bio/HMR_4493,bio/H
bio/HMR_4495,bio/H
bio/HMR_4496,bio/H
bio/HMR_4519,bio/H
bio/HMR_4600,bio/H
bio/HMR_4646,bio/H
bio/HMR_4799,bio/H
bio/HMR_4802,bio/H
bio/HMR_4808,bio/H
bio/HMR_4810,bio/H
bio/HMR_5301,bio/H
bio/HMR_6602,bio/H
bio/HMR_6609,bio/H
bio/HMR_7144,bio/H
bio/HMR_3969,bio/H
bio/HMR_4032,bio/H
bio/HMR_4034,bio/H
bio/HMR_4127,bio/H
bio/HMR_4182,bio/H
bio/HMR_4194,bio/H
bio/HMR_4345,bio/H
bio/HMR_4346,bio/H
bio/HMR_4513,bio/H
bio/HMR_4608,bio/H
bio/HMR_4676,bio/H
bio/HMR_4736,bio/H
bio/HMR_5299,bio/H
bio/HMR_5352,bio/H
bio/HMR_6623,bio/H
bio/HMR_3965,bio/H
bio/HMR_4054,bio/H
bio/HMR_4180,bio/H
bio/HMR_4186,bio/H
bio/HMR_4344,bio/H
bio/HMR_4516,bio/H
bio/HMR_4633,bio/H
bio/HMR_4641,bio/H
bio/HMR_4806,bio/H
bio/HMR_7163,bio/H
bio/HMR_7164,bio/H
bio/HMR_7879,bio/H
bio/HMR_8443,bio/H
bio/HMR_8444,bio/H
bio/HMR_8488,bio/H
