reactionID,dcid
bio/HMR_3905,bio/CHEMBL545
bio/HMR_3907,bio/CHEMBL545
bio/HMR_8757,bio/CHEMBL545
bio/HMR_5000,bio/CHEMBL545
bio/HMR_8756,bio/CHEMBL545
bio/HMR_3905,bio/C21H26N7O14P2
bio/HMR_4122,bio/C21H26N7O14P2
bio/HMR_4315,bio/C21H26N7O14P2
bio/HMR_4591,bio/C21H26N7O14P2
bio/HMR_4593,bio/C21H26N7O14P2
bio/HMR_1568,bio/C21H26N7O14P2
bio/HMR_8503,bio/C21H26N7O14P2
bio/HMR_8504,bio/C21H26N7O14P2
bio/HMR_8507,bio/C21H26N7O14P2
bio/HMR_8508,bio/C21H26N7O14P2
bio/HMR_8512,bio/C21H26N7O14P2
bio/HMR_5351,bio/C21H26N7O14P2
bio/HMR_4040,bio/C21H26N7O14P2
bio/HMR_4519,bio/C21H26N7O14P2
bio/HMR_4646,bio/C21H26N7O14P2
bio/HMR_4344,bio/C21H26N7O14P2
bio/HMR_4778,bio/C21H26N7O14P2
bio/HMR_6953,bio/C21H26N7O14P2
bio/HMR_6954,bio/C21H26N7O14P2
bio/HMR_8605,bio/C21H26N7O14P2
bio/HMR_3839,bio/C21H26N7O14P2
bio/HMR_4696,bio/C21H26N7O14P2
bio/HMR_4697,bio/C21H26N7O14P2
bio/HMR_8442,bio/C21H26N7O14P2
bio/HMR_4431,bio/C21H26N7O14P2
bio/HMR_8784,bio/C21H26N7O14P2
bio/HMR_4737,bio/C21H26N7O14P2
bio/HMR_6981,bio/C21H26N7O14P2
bio/HMR_4683,bio/C21H26N7O14P2
bio/HMR_4703,bio/C21H26N7O14P2
bio/HMR_8530,bio/C21H26N7O14P2
bio/HMR_4797,bio/C21H26N7O14P2
bio/HMR_4233,bio/C21H26N7O14P2
bio/HMR_6714,bio/C21H26N7O14P2
bio/HMR_6748,bio/C21H26N7O14P2
bio/HMR_6753,bio/C21H26N7O14P2
bio/HMR_6760,bio/C21H26N7O14P2
bio/HMR_6766,bio/C21H26N7O14P2
bio/HMR_6785,bio/C21H26N7O14P2
bio/HMR_6790,bio/C21H26N7O14P2
bio/HMR_6519,bio/C21H26N7O14P2
bio/HMR_8068,bio/C21H26N7O14P2
bio/HMR_8685,bio/C21H26N7O14P2
bio/HMR_4689,bio/C21H26N7O14P2
bio/HMR_7993,bio/C21H26N7O14P2
bio/HMR_4533,bio/C21H26N7O14P2
bio/HMR_8775,bio/C21H26N7O14P2
bio/HMR_8780,bio/C21H26N7O14P2
bio/HMR_0990,bio/C21H26N7O14P2
bio/HMR_1065,bio/C21H26N7O14P2
bio/HMR_1066,bio/C21H26N7O14P2
bio/HMR_1067,bio/C21H26N7O14P2
bio/HMR_1068,bio/C21H26N7O14P2
bio/HMR_1069,bio/C21H26N7O14P2
bio/HMR_1070,bio/C21H26N7O14P2
bio/HMR_1100,bio/C21H26N7O14P2
bio/HMR_1129,bio/C21H26N7O14P2
bio/HMR_1941,bio/C21H26N7O14P2
bio/HMR_1949,bio/C21H26N7O14P2
bio/HMR_1951,bio/C21H26N7O14P2
bio/HMR_7930,bio/C21H26N7O14P2
bio/HMR_7973,bio/C21H26N7O14P2
bio/HMR_1967,bio/C21H26N7O14P2
bio/HMR_1970,bio/C21H26N7O14P2
bio/HMR_1982,bio/C21H26N7O14P2
bio/HMR_1496,bio/C21H26N7O14P2
bio/HMR_0456,bio/C21H26N7O14P2
bio/HMR_1979,bio/C21H26N7O14P2
bio/HMR_1325,bio/C21H26N7O14P2
bio/HMR_1608,bio/C21H26N7O14P2
bio/HMR_1611,bio/C21H26N7O14P2
bio/HMR_1692,bio/C21H26N7O14P2
bio/HMR_1738,bio/C21H26N7O14P2
bio/HMR_1766,bio/C21H26N7O14P2
bio/HMR_4263,bio/C21H26N7O14P2
bio/HMR_4269,bio/C21H26N7O14P2
bio/HMR_7143,bio/C21H26N7O14P2
bio/HMR_7623,bio/C21H26N7O14P2
bio/HMR_7625,bio/C21H26N7O14P2
bio/HMR_8758,bio/C21H26N7O14P2
bio/HMR_8349,bio/C21H26N7O14P2
bio/HMR_6631,bio/C21H26N7O14P2
bio/HMR_6646,bio/C21H26N7O14P2
bio/HMR_6675,bio/C21H26N7O14P2
bio/HMR_4559,bio/C21H26N7O14P2
bio/HMR_7035,bio/C21H26N7O14P2
bio/HMR_4202,bio/C21H26N7O14P2
bio/HMR_9487,bio/C21H26N7O14P2
bio/HMR_9563,bio/C21H26N7O14P2
bio/HMR_7774,bio/C21H26N7O14P2
bio/HMR_7773,bio/C21H26N7O14P2
bio/3HPPD,bio/C21H26N7O14P2
bio/ALDD21,bio/C21H26N7O14P2
bio/RE0512C,bio/C21H26N7O14P2
bio/RE1342C,bio/C21H26N7O14P2
bio/RE1525C,bio/C21H26N7O14P2
bio/RE1526C,bio/C21H26N7O14P2
bio/RE1527C,bio/C21H26N7O14P2
bio/RE1796C,bio/C21H26N7O14P2
bio/RE1804C,bio/C21H26N7O14P2
bio/RE2152C,bio/C21H26N7O14P2
bio/RE2908C,bio/C21H26N7O14P2
bio/RE2909C,bio/C21H26N7O14P2
