"dcid,reactionID"
"bio/acyl-coa_hydrolysis,bio/HMR_0154"
"bio/acyl-coa_hydrolysis,bio/HMR_0189"
"bio/acyl-coa_hydrolysis,bio/HMR_0193"
"bio/acyl-coa_hydrolysis,bio/HMR_0197"
"bio/acyl-coa_hydrolysis,bio/HMR_0201"
"bio/acyl-coa_hydrolysis,bio/HMR_0206"
"bio/acyl-coa_hydrolysis,bio/HMR_0210"
"bio/acyl-coa_hydrolysis,bio/HMR_0214"
"bio/acyl-coa_hydrolysis,bio/HMR_0223"
"bio/acyl-coa_hydrolysis,bio/HMR_0230"
"bio/acyl-coa_hydrolysis,bio/HMR_0234"
"bio/acyl-coa_hydrolysis,bio/HMR_0238"
"bio/acyl-coa_hydrolysis,bio/HMR_0242"
"bio/acyl-coa_hydrolysis,bio/HMR_0246"
"bio/acyl-coa_hydrolysis,bio/HMR_0250"
"bio/acyl-coa_hydrolysis,bio/HMR_0256"
"bio/acyl-coa_hydrolysis,bio/HMR_0260"
"bio/acyl-coa_hydrolysis,bio/HMR_0264"
"bio/acyl-coa_hydrolysis,bio/HMR_0268"
"bio/acyl-coa_hydrolysis,bio/HMR_0272"
"bio/acyl-coa_hydrolysis,bio/HMR_0276"
