"reactionID,dcid"
"bio/HMR_3905,bio/CHEMBL170365"
"bio/HMR_3907,bio/CHEMBL170365"
"bio/HMR_8757,bio/CHEMBL170365"
"bio/HMR_4398,bio/CHEMBL170365"
"bio/HMR_4284,bio/CHEMBL170365"
"bio/HMR_6734,bio/CHEMBL170365"
"bio/HMR_1958,bio/CHEMBL170365"
"bio/HMR_4296,bio/CHEMBL170365"
"bio/HMR_0647,bio/CHEMBL170365"
"bio/HMR_3905,bio/H"
"bio/HMR_3907,bio/H"
"bio/HMR_4108,bio/H"
"bio/HMR_4283,bio/H"
"bio/HMR_4379,bio/H"
"bio/HMR_4301,bio/H"
"bio/HMR_4360,bio/H"
"bio/HMR_4370,bio/H"
"bio/HMR_4371,bio/H"
"bio/HMR_4394,bio/H"
"bio/HMR_7746,bio/H"
"bio/HMR_7747,bio/H"
