reactionID,dcid
bio/HMR_3905,bio/CHEMBL545
bio/HMR_3907,bio/CHEMBL545
bio/HMR_8757,bio/CHEMBL545
bio/HMR_5000,bio/CHEMBL545
bio/HMR_8756,bio/CHEMBL545
bio/HMR_3905,bio/C21H26N7O14P2
bio/HMR_4122,bio/C21H26N7O14P2
bio/HMR_4315,bio/C21H26N7O14P2
bio/HMR_4591,bio/C21H26N7O14P2
bio/HMR_4593,bio/C21H26N7O14P2
bio/HMR_1568,bio/C21H26N7O14P2
bio/HMR_8503,bio/C21H26N7O14P2
bio/HMR_8504,bio/C21H26N7O14P2
bio/HMR_8507,bio/C21H26N7O14P2
bio/HMR_8508,bio/C21H26N7O14P2
bio/HMR_8512,bio/C21H26N7O14P2
bio/HMR_5351,bio/C21H26N7O14P2
bio/HMR_4040,bio/C21H26N7O14P2
bio/HMR_4519,bio/C21H26N7O14P2
bio/HMR_4646,bio/C21H26N7O14P2
bio/HMR_4344,bio/C21H26N7O14P2
